Munic�pio de resid�ncia,Em branco/IGN,<1 Ano,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,80 e +,Total
171488 NOVA OLINDA,-,-,1,1,4,-,4,3,-,1,-,-,14
171500 NOVA ROSALANDIA,-,-,-,-,-,-,2,-,-,-,-,-,2
171510 NOVO ACORDO,-,-,-,-,-,1,1,1,-,-,-,-,3
171515 NOVO ALEGRE,-,-,-,-,1,-,1,2,-,1,-,-,5
171525 NOVO JARDIM,-,1,10,14,15,10,37,26,3,2,1,-,119
171550 OLIVEIRA DE FATIMA,-,1,-,2,2,-,6,3,-,-,-,-,14
171570 PALMEIRANTE,-,-,-,-,-,-,-,2,-,-,-,-,2
171575 PALMEIROPOLIS,-,1,-,3,6,4,9,8,-,2,-,-,33
171610 PARAISO DO TOCANTINS,-,-,10,21,24,30,116,55,3,2,5,1,267
171620 PARANA,-,-,-,-,1,-,-,2,-,-,-,-,3
171630 PAU D'ARCO,-,-,-,-,1,-,3,1,-,-,-,1,6
171650 PEDRO AFONSO,-,-,2,1,-,2,4,6,-,-,-,-,15
171660 PEIXE,-,-,-,-,-,2,4,-,-,-,1,-,7
171665 PEQUIZEIRO,-,1,-,-,-,-,2,1,-,-,-,-,4
171670 COLMEIA,-,-,1,-,-,-,-,1,-,-,-,-,2
171700 PINDORAMA DO TOCANTINS,-,-,-,1,-,1,1,-,1,-,-,-,4
171720 PIRAQUE,-,-,-,1,-,-,-,1,-,-,-,-,2
171750 PIUM,-,3,8,9,13,8,36,21,3,5,3,2,111
171780 PONTE ALTA DO BOM JESUS,-,-,-,4,4,1,7,2,-,1,1,-,20
171790 PONTE ALTA DO TOCANTINS,-,-,-,1,1,-,5,3,-,-,-,1,11
171800 PORTO ALEGRE DO TOCANTINS,-,-,-,-,-,1,3,2,-,-,-,-,6
171820 PORTO NACIONAL,-,3,13,11,8,10,25,22,2,-,5,-,99
171830 PRAIA NORTE,-,1,1,4,1,2,5,-,-,-,-,-,14
171840 PRESIDENTE KENNEDY,-,1,-,2,-,-,1,1,-,-,-,1,6
171845 PUGMIL,-,-,-,1,3,1,5,1,1,-,1,-,13
171850 RECURSOLANDIA,-,-,-,-,2,2,1,1,-,-,-,-,6
171855 RIACHINHO,-,-,-,-,-,-,1,-,-,1,-,1,3
171865 RIO DA CONCEICAO,-,-,1,1,2,4,23,13,1,1,-,-,46
171870 RIO DOS BOIS,-,-,-,-,-,-,1,-,-,-,-,-,1
171875 RIO SONO,-,-,2,8,2,4,6,4,-,-,-,-,26
171884 SANDOLANDIA,-,-,-,-,1,-,-,-,-,-,1,-,2
171886 SANTA FE DO ARAGUAIA,-,-,-,-,-,1,-,2,-,-,-,-,3
171888 SANTA MARIA DO TOCANTINS,-,-,-,-,-,-,1,-,-,-,-,-,1
171889 SANTA RITA DO TOCANTINS,-,-,-,-,1,-,1,-,-,-,-,1,3
171890 SANTA ROSA DO TOCANTINS,-,-,-,-,-,-,1,-,-,-,-,-,1
171900 SANTA TEREZA DO TOCANTINS,-,-,-,-,-,1,2,2,-,-,-,-,5
172000 SANTA TEREZINHA DO TOCANTINS,-,-,-,1,-,-,-,-,-,-,-,-,1
172010 SAO BENTO DO TOCANTINS,-,-,3,3,4,1,9,3,-,-,2,-,25
172020 SAO MIGUEL DO TOCANTINS,-,-,1,1,-,1,1,-,-,-,-,-,4
172030 SAO SEBASTIAO DO TOCANTINS,-,-,-,-,-,1,2,-,-,-,-,-,3
172049 SAO VALERIO,-,-,-,3,1,3,12,8,1,-,-,-,28
172065 SILVANOPOLIS,-,-,-,-,1,-,1,1,-,-,-,-,3
172080 SITIO NOVO DO TOCANTINS,-,2,1,-,1,1,7,3,-,-,-,-,15
172090 TAGUATINGA,-,-,-,3,-,2,3,1,1,1,1,-,12
172093 TAIPAS DO TOCANTINS,-,-,-,1,-,4,3,1,1,-,-,-,10
172097 TALISMA,-,1,2,4,1,3,9,5,3,1,-,-,29
172100 PALMAS,-,7,50,55,36,26,165,114,14,10,14,9,500
172120 TOCANTINOPOLIS,-,3,2,6,2,6,16,9,2,1,1,-,48
172125 TUPIRAMA,-,-,-,-,1,-,1,-,-,-,-,-,2
172130 TUPIRATINS,-,1,-,-,-,-,1,1,1,-,-,1,5
172208 WANDERLANDIA,-,-,-,-,1,-,-,-,-,1,-,-,2
172210 XAMBIOA,-,-,-,-,-,-,-,-,-,-,-,1,1
210005 ACAILANDIA,-,1,2,6,1,4,1,2,-,-,1,-,18
210015 AGUA DOCE DO MARANHAO,-,-,-,1,1,-,1,-,-,-,-,-,3
210020 ALCANTARA,-,-,-,-,-,-,1,-,-,-,-,-,1
210030 ALDEIAS ALTAS,-,1,1,4,1,4,13,7,-,-,1,-,32
210047 ALTO ALEGRE DO PINDARE,-,-,1,-,1,1,3,3,-,1,-,1,11
210050 ALTO PARNAIBA,-,-,1,1,1,2,10,4,-,-,-,-,19
210055 AMAPA DO MARANHAO,-,-,-,1,1,-,-,-,-,-,-,-,2
210060 AMARANTE DO MARANHAO,-,1,3,6,9,3,14,1,1,1,1,-,40
210070 ANAJATUBA,-,-,-,1,-,-,3,-,-,1,1,-,6
210080 ANAPURUS,-,-,1,-,1,-,-,-,-,1,-,-,3
210083 APICUM-ACU,-,-,1,2,-,2,5,1,-,2,-,-,13
210087 ARAGUANA,-,-,1,-,-,-,-,-,-,-,-,-,1
210090 ARAIOSES,-,1,-,-,1,-,2,-,-,-,-,-,4
210095 ARAME,-,-,-,1,2,-,3,2,-,-,-,-,8
210100 ARARI,-,-,-,2,4,5,20,26,4,3,1,1,66
210110 AXIXA,-,-,-,-,-,-,2,-,-,-,-,-,2
210120 BACABAL,-,3,7,18,18,6,21,16,1,-,2,-,92
210125 BACABEIRA,-,2,2,2,-,-,1,1,-,-,-,-,8
210130 BACURI,-,-,4,-,-,-,-,-,-,-,-,-,4
210140 BALSAS,-,7,5,11,4,13,26,15,1,1,1,-,84
210150 BARAO DE GRAJAU,-,-,-,1,-,-,4,1,-,-,-,1,7
210160 BARRA DO CORDA,-,2,6,12,5,13,36,12,1,3,2,-,92
210170 BARREIRINHAS,-,1,-,1,1,-,2,-,-,-,-,-,5
210173 BELAGUA,-,-,-,1,-,1,-,-,-,-,-,-,2
210177 BELA VISTA DO MARANHAO,-,-,-,-,-,-,1,-,-,-,-,-,1
210180 BENEDITO LEITE,-,-,-,-,-,-,1,-,-,-,-,-,1
210190 BEQUIMAO,-,-,-,-,3,-,2,-,-,1,-,-,6
210193 BERNARDO DO MEARIM,-,-,-,-,-,-,-,1,-,-,-,-,1
210197 BOA VISTA DO GURUPI,-,-,-,-,1,-,-,-,-,-,-,-,1
210203 BOM JESUS DAS SELVAS,-,-,-,-,2,-,1,1,-,-,-,-,4
210207 BOM LUGAR,-,-,-,-,1,-,5,1,-,-,-,-,7
210215 BREJO DE AREIA,-,-,-,-,-,-,1,1,-,-,-,-,2
210220 BURITI,-,-,-,-,-,-,-,1,-,-,-,-,1
210232 BURITICUPU,-,-,1,-,2,-,-,1,1,1,-,-,6
210235 BURITIRANA,-,1,-,-,2,-,1,-,-,-,-,-,4
210240 CAJAPIO,-,-,-,-,-,-,1,-,-,-,-,-,1
210255 CAMPESTRE DO MARANHAO,-,-,-,1,4,2,3,2,-,-,1,-,13
210260 CANDIDO MENDES,-,-,-,-,-,1,-,-,-,-,-,-,1
210270 CANTANHEDE,-,-,-,-,4,-,3,1,1,-,-,-,9
210275 CAPINZAL DO NORTE,-,-,-,-,-,-,-,3,-,-,-,-,3
210280 CAROLINA,-,-,-,2,3,1,4,2,-,-,-,-,12
210290 CARUTAPERA,-,1,1,1,-,-,2,-,-,1,-,-,6
210300 CAXIAS,-,1,3,16,10,6,9,5,-,2,-,-,52
210312 CENTRAL DO MARANHAO,-,-,-,-,-,-,1,-,-,-,-,-,1
210315 CENTRO DO GUILHERME,-,-,-,-,-,-,1,-,-,-,-,-,1
210317 CENTRO NOVO DO MARANHAO,-,-,-,-,-,-,-,1,-,-,-,-,1
210320 CHAPADINHA,-,3,5,7,14,8,42,21,7,1,-,2,110
210325 CIDELANDIA,-,1,-,-,1,-,2,4,-,-,-,-,8
210330 CODO,-,-,-,-,-,-,5,2,2,1,-,-,10
210340 COELHO NETO,-,2,-,1,1,1,5,2,-,1,-,-,13
210350 COLINAS,-,-,4,2,1,1,2,1,-,-,-,-,11
210360 COROATA,-,-,-,-,-,-,2,-,1,-,1,-,4
210370 CURURUPU,-,-,-,2,1,-,3,-,-,-,1,-,7
210375 DAVINOPOLIS,-,-,1,3,1,1,8,3,-,-,-,1,18
210380 DOM PEDRO,-,-,-,-,-,-,-,-,1,-,2,-,3
210390 DUQUE BACELAR,-,-,-,1,-,-,2,-,-,-,-,-,3
210400 ESPERANTINOPOLIS,-,1,-,1,1,-,-,1,-,-,-,-,4
210405 ESTREITO,-,-,2,1,1,1,9,-,1,-,-,-,15
210407 FEIRA NOVA DO MARANHAO,-,-,-,1,1,1,6,6,1,-,1,-,17
210408 FERNANDO FALCAO,-,-,-,1,-,-,1,-,-,-,-,-,2
210409 FORMOSA DA SERRA NEGRA,-,-,-,1,1,-,6,1,-,-,1,-,10
210410 FORTALEZA DOS NOGUEIRAS,-,1,-,-,-,-,1,1,1,-,-,-,4
210420 FORTUNA,-,-,-,-,1,-,1,-,-,-,-,-,2
210440 GONCALVES DIAS,-,-,-,3,2,3,13,5,-,2,-,-,28
210450 GOVERNADOR ARCHER,-,-,-,-,1,2,3,1,-,-,-,-,7
210455 GOVERNADOR EDISON LOBAO,-,-,3,3,4,4,12,4,1,1,2,-,34
210460 GOVERNADOR EUGENIO BARROS,1,5,10,17,15,13,24,23,2,2,5,2,119
210462 GOVERNADOR LUIZ ROCHA,-,-,1,-,-,-,-,-,-,-,-,-,1
210465 GOVERNADOR NEWTON BELLO,-,-,-,-,1,1,1,1,1,-,-,-,5
210467 GOVERNADOR NUNES FREIRE,-,-,-,-,-,-,1,-,-,-,-,-,1
210470 GRACA ARANHA,-,-,-,-,-,-,-,1,-,-,-,-,1
210480 GRAJAU,-,-,1,-,2,3,9,4,1,-,-,-,20
210490 GUIMARAES,-,-,-,-,-,-,-,-,-,-,-,1,1
210500 HUMBERTO DE CAMPOS,-,-,-,-,-,-,-,-,1,-,-,-,1
210510 ICATU,-,-,-,1,1,-,-,-,-,-,-,-,2
210515 IGARAPE DO MEIO,-,2,-,-,-,-,-,-,-,-,-,-,2
210520 IGARAPE GRANDE,-,3,-,-,-,-,-,1,-,-,-,-,4
210530 IMPERATRIZ,-,10,30,70,53,40,48,26,4,4,1,1,287
210540 ITAPECURU MIRIM,-,-,-,1,1,1,4,2,1,-,-,-,10
210542 ITINGA DO MARANHAO,-,-,3,2,4,3,20,6,-,3,2,-,43
210545 JATOBA,-,-,-,-,-,-,-,1,-,-,-,-,1
210547 JENIPAPO DOS VIEIRAS,-,-,-,-,-,1,-,-,-,-,-,-,1
210550 JOAO LISBOA,-,-,-,-,2,-,2,-,-,-,-,-,4
210560 JOSELANDIA,-,-,-,-,4,2,7,5,2,2,3,-,25
210570 LAGO DA PEDRA,-,-,-,1,-,-,-,2,-,-,-,-,3
210580 LAGO DO JUNCO,-,1,1,1,3,2,4,1,-,1,-,-,14
210590 LAGO VERDE,-,-,-,-,-,-,2,-,-,-,-,-,2
210596 LAGOA GRANDE DO MARANHAO,-,-,-,-,-,-,-,-,-,-,1,-,1
210598 LAJEADO NOVO,-,-,2,3,3,3,13,5,-,-,1,-,30
210600 LIMA CAMPOS,-,-,-,-,1,-,-,-,-,-,-,-,1
210610 LORETO,-,-,-,-,2,-,4,5,-,1,1,-,13
210620 LUIS DOMINGUES,-,-,-,-,-,-,-,-,-,-,1,-,1
210632 MARACACUME,-,-,-,-,-,-,2,1,-,-,-,-,3
210637 MARANHAOZINHO,-,-,1,-,-,2,1,-,-,-,-,-,4
210640 MATA ROMA,-,3,1,1,1,-,-,-,-,-,-,-,6
210660 MATOES,-,-,3,1,1,-,10,9,2,1,3,-,30
210663 MATOES DO NORTE,-,1,1,-,-,-,1,-,-,-,-,-,3
210675 MIRANDA DO NORTE,-,1,1,4,2,7,7,-,-,-,-,-,22
210680 MIRINZAL,-,-,-,-,-,-,2,1,-,-,-,-,3
210690 MONCAO,-,-,-,-,-,1,2,-,-,-,-,-,3
210700 MONTES ALTOS,-,-,-,-,-,-,-,2,-,-,-,-,2
210720 NINA RODRIGUES,-,-,1,1,-,-,-,-,-,-,-,-,2
210725 NOVA COLINAS,-,-,-,-,1,-,-,-,-,-,-,-,1
210730 NOVA IORQUE,-,-,1,-,1,-,-,1,1,-,-,-,4
210735 NOVA OLINDA DO MARANHAO,-,-,-,-,-,-,2,-,-,-,-,-,2
210740 OLHO D'AGUA DAS CUNHAS,-,-,1,-,1,-,1,1,-,-,-,-,4
210750 PACO DO LUMIAR,-,3,3,9,5,3,22,26,-,3,-,1,75
210770 PARAIBANO,-,-,1,3,-,3,16,13,1,1,2,-,40
210780 PARNARAMA,-,-,-,-,1,-,1,1,-,-,-,-,3
210790 PASSAGEM FRANCA,-,-,-,-,-,-,2,-,-,-,-,-,2
210800 PASTOS BONS,-,-,-,-,-,-,1,-,-,-,-,-,1
210805 PAULINO NEVES,-,-,-,-,-,-,2,-,-,-,-,-,2
210810 PAULO RAMOS,-,-,-,-,-,-,1,1,-,-,-,-,2
210820 PEDREIRAS,-,-,6,10,24,27,68,51,3,3,1,-,193
210825 PEDRO DO ROSARIO,-,2,-,-,-,-,1,-,-,-,-,-,3
210830 PENALVA,-,-,-,1,-,2,1,3,-,-,-,-,7
210845 PERITORO,-,-,1,-,-,-,-,-,-,-,-,-,1
210850 PINDARE-MIRIM,-,-,1,-,-,1,1,-,-,2,-,-,5
210860 PINHEIRO,-,4,3,6,8,18,60,44,10,5,8,1,167
210870 PIO XII,-,-,-,-,1,1,4,2,-,-,-,-,8
210880 PIRAPEMAS,-,-,-,-,-,-,1,-,-,-,-,-,1
210890 POCAO DE PEDRAS,-,-,-,-,1,1,2,1,-,-,-,1,6
210900 PORTO FRANCO,-,-,4,1,2,-,2,3,-,-,-,-,12
210905 PORTO RICO DO MARANHAO,-,-,-,2,-,1,1,-,-,-,-,-,4
210910 PRESIDENTE DUTRA,-,-,-,-,-,-,5,2,-,-,1,-,8
210920 PRESIDENTE JUSCELINO,-,-,1,-,-,-,-,-,-,-,-,-,1
210927 PRESIDENTE SARNEY,-,-,-,-,1,-,1,9,2,1,-,-,14
210930 PRESIDENTE VARGAS,-,-,-,-,-,2,3,-,-,-,-,-,5
210945 RAPOSA,-,-,-,2,4,2,5,2,1,1,-,1,18
210950 RIACHAO,-,1,1,-,-,1,8,2,2,2,1,-,18
210955 RIBAMAR FIQUENE,-,-,-,2,2,4,4,2,1,-,2,-,17
210960 ROSARIO,-,1,1,1,1,3,1,1,-,-,-,-,9
210980 SANTA HELENA,-,2,3,7,8,22,43,20,3,3,1,-,112
210990 SANTA INES,-,2,-,3,2,4,15,13,1,1,1,-,42
211000 SANTA LUZIA,-,12,10,17,9,16,45,29,2,3,9,1,153
211003 SANTA LUZIA DO PARUA,-,-,-,-,-,-,1,-,-,-,-,-,1
211010 SANTA QUITERIA DO MARANHAO,-,-,-,-,-,-,1,-,-,-,-,-,1
211020 SANTA RITA,-,-,-,-,1,-,3,-,-,-,-,-,4
211023 SANTANA DO MARANHAO,-,-,-,-,-,1,-,-,-,-,-,-,1
211027 SANTO AMARO DO MARANHAO,-,1,-,-,-,-,-,-,-,-,-,-,1
211040 SAO BENEDITO DO RIO PRETO,-,1,-,1,-,-,1,1,-,-,-,-,4
211050 SAO BENTO,-,-,-,1,-,-,1,-,-,-,-,-,2
211060 SAO BERNARDO,-,-,-,-,2,-,-,-,-,-,-,1,3
211065 SAO DOMINGOS DO AZEITAO,-,-,-,-,-,-,2,-,-,-,-,-,2
211080 SAO FELIX DE BALSAS,-,-,-,-,-,-,1,-,-,-,-,-,1
211085 SAO FRANCISCO DO BREJAO,-,2,4,12,9,14,13,10,1,4,1,-,70
211090 SAO FRANCISCO DO MARANHAO,-,-,-,1,1,1,1,-,-,1,-,-,5
211100 SAO JOAO BATISTA,-,1,-,-,-,-,-,-,-,-,-,-,1
211102 SAO JOAO DO CARU,-,-,-,-,-,-,1,1,-,-,-,-,2
211105 SAO JOAO DO PARAISO,-,-,1,-,2,-,2,1,-,-,-,-,6
211110 SAO JOAO DOS PATOS,-,-,-,-,-,-,4,2,-,-,1,1,8
211120 SAO JOSE DE RIBAMAR,-,5,5,12,15,17,46,26,3,3,1,-,133
211130 SAO LUIS,-,10,63,122,145,125,526,345,53,35,61,18,1503
211140 SAO LUIS GONZAGA DO MARANHAO,-,-,-,-,1,1,4,1,1,-,-,-,8
211150 SAO MATEUS DO MARANHAO,-,-,-,3,1,3,5,8,1,-,-,-,21
211153 SAO PEDRO DA AGUA BRANCA,-,1,1,3,3,1,3,4,-,-,1,-,17
211157 SAO PEDRO DOS CRENTES,-,-,-,1,6,1,22,10,2,-,3,4,49
211160 SAO RAIMUNDO DAS MANGABEIRAS,-,1,1,-,-,-,2,-,-,-,-,-,4
211170 SAO VICENTE FERRER,-,-,-,-,1,-,-,-,-,-,-,-,1
211172 SATUBINHA,-,-,-,1,1,-,6,2,-,-,-,-,10
211176 SENADOR LA ROCQUE,-,-,-,-,1,-,-,-,-,-,-,-,1
211180 SITIO NOVO,-,1,3,6,15,12,33,17,2,5,2,1,97
211190 SUCUPIRA DO NORTE,-,4,5,10,1,3,5,1,-,-,-,1,30
211200 TASSO FRAGOSO,-,-,-,2,1,4,22,3,1,1,-,-,34
211210 TIMBIRAS,-,-,-,-,1,-,1,-,-,-,-,-,2
211220 TIMON,-,3,8,14,16,10,109,61,8,10,7,5,251
211223 TRIZIDELA DO VALE,-,-,-,-,-,2,15,6,1,-,-,-,24
211230 TUNTUM,-,-,-,-,-,-,-,1,-,-,-,-,1
211240 TURIACU,-,1,-,-,-,-,-,-,-,-,-,-,1
211245 TURILANDIA,-,1,5,7,5,3,29,17,5,4,4,-,80
211250 TUTOIA,-,-,-,-,-,1,1,-,-,-,1,-,3
211260 URBANO SANTOS,-,-,-,2,-,3,11,3,2,-,-,-,21
211270 VARGEM GRANDE,-,-,1,-,-,-,-,1,-,-,-,-,2
211285 VILA NOVA DOS MARTIRIOS,-,-,-,1,-,1,2,1,-,-,-,-,5
211290 VITORIA DO MEARIM,-,2,-,1,-,-,1,2,-,-,-,-,6
211300 VITORINO FREIRE,-,-,-,1,1,-,1,1,-,-,-,-,4
211400 ZE DOCA,-,1,-,-,-,-,-,-,1,-,-,-,2
220005 ACAUA,-,-,-,-,-,-,1,1,-,-,-,-,2
220010 AGRICOLANDIA,-,-,1,-,-,1,-,1,-,-,-,-,3
220020 AGUA BRANCA,-,-,-,6,12,6,22,13,1,-,1,-,61
220025 ALAGOINHA DO PIAUI,-,-,-,-,-,-,-,1,-,-,-,-,1
220030 ALTO LONGA,-,-,-,-,-,2,3,4,-,1,-,-,10
220040 ALTOS,-,2,1,1,-,4,12,9,1,1,1,1,33
220045 ALVORADA DO GURGUEIA,-,-,-,-,-,-,1,-,-,-,-,-,1
220050 AMARANTE,-,-,-,2,1,-,5,5,2,1,-,-,16
220060 ANGICAL DO PIAUI,-,-,-,-,-,-,-,1,-,-,-,-,1
220080 ANTONIO ALMEIDA,-,-,-,-,-,-,1,-,-,-,-,-,1
220100 ARRAIAL,-,-,-,-,1,-,7,1,-,1,-,2,12
220105 ASSUNCAO DO PIAUI,2,-,-,-,-,-,1,-,-,-,-,-,3
220115 BAIXA GRANDE DO RIBEIRO,-,1,3,2,2,7,18,9,3,-,1,-,46
220117 BARRA D'ALCANTARA,-,-,-,1,2,1,13,10,-,-,1,-,28
220120 BARRAS,-,-,1,-,-,-,2,-,-,1,-,-,4
220140 BARRO DURO,-,-,2,1,9,3,22,12,2,4,2,-,57
220150 BATALHA,-,-,-,-,-,-,-,1,-,-,-,-,1
220155 BELA VISTA DO PIAUI,-,-,-,-,-,-,1,1,-,-,-,-,2
220157 BELEM DO PIAUI,-,-,-,-,1,-,2,3,-,-,-,-,6
220160 BENEDITINOS,-,-,-,4,2,3,4,3,-,-,-,-,16
220173 BETANIA DO PIAUI,-,-,-,-,-,-,1,3,-,-,1,-,5
220190 BOM JESUS,-,-,1,3,3,7,42,17,1,1,1,-,76
220191 BOM PRINCIPIO DO PIAUI,-,-,-,-,2,-,7,4,-,-,-,-,13
220192 BONFIM DO PIAUI,-,-,-,-,-,-,-,1,-,-,-,-,1
220196 BRASILEIRA,-,-,-,-,-,-,1,1,-,-,-,-,2
220198 BREJO DO PIAUI,-,-,-,-,-,-,1,-,-,-,-,-,1
220200 BURITI DOS LOPES,-,-,2,-,1,1,4,2,-,-,1,-,11
220202 BURITI DOS MONTES,-,-,-,-,-,-,1,1,-,-,-,-,2
220205 CABECEIRAS DO PIAUI,-,-,-,-,-,-,1,-,-,-,-,-,1
220207 CAJAZEIRAS DO PIAUI,-,-,-,1,-,-,-,-,-,-,-,-,1
220210 CAMPINAS DO PIAUI,-,-,-,-,-,1,3,1,1,2,2,-,10
220211 CAMPO ALEGRE DO FIDALGO,-,1,-,-,-,-,-,-,-,-,-,-,1
220220 CAMPO MAIOR,-,-,-,-,1,-,9,1,-,2,-,-,13
220230 CANTO DO BURITI,-,-,-,1,1,1,14,5,2,1,1,-,26
220240 CAPITAO DE CAMPOS,-,-,-,-,-,-,1,-,-,-,-,-,1
220245 CAPITAO GERVASIO OLIVEIRA,-,-,-,2,4,1,9,8,-,-,-,-,24
220253 CARAUBAS DO PIAUI,-,-,-,-,-,1,4,2,-,-,-,-,7
220255 CARIDADE DO PIAUI,-,-,-,-,-,-,1,-,-,-,-,-,1
220260 CASTELO DO PIAUI,-,-,1,-,-,-,-,-,-,-,-,-,1
220265 CAXINGO,-,-,-,1,-,-,-,3,-,-,-,-,4
220270 COCAL,-,-,-,-,1,-,-,1,-,-,1,-,3
220271 COCAL DE TELHA,-,-,-,-,-,1,-,-,1,-,-,-,2
220272 COCAL DOS ALVES,-,-,-,-,-,-,-,2,-,-,-,-,2
220273 COIVARAS,-,-,-,-,-,2,6,5,-,-,-,-,13
220275 COLONIA DO GURGUEIA,-,-,-,-,-,-,1,-,-,-,-,-,1
220277 COLONIA DO PIAUI,-,-,-,-,1,1,4,5,-,2,-,-,13
220285 CORONEL JOSE DIAS,-,-,-,2,1,1,4,7,-,-,2,-,17
220290 CORRENTE,-,-,1,-,3,1,6,4,1,-,-,-,16
220310 CRISTINO CASTRO,-,-,-,-,-,-,2,-,-,-,-,-,2
220320 CURIMATA,-,1,-,-,-,-,-,1,-,-,1,-,3
220323 CURRAIS,-,-,-,2,1,2,1,1,-,-,-,-,7
220325 CURRALINHOS,-,-,-,-,-,1,1,2,-,1,-,-,5
220330 DEMERVAL LOBAO,-,-,-,2,-,-,3,1,-,-,-,-,6
220335 DIRCEU ARCOVERDE,-,-,-,-,-,-,1,-,-,-,-,-,1
220345 DOM INOCENCIO,-,-,2,-,1,-,4,-,-,-,1,-,8
220350 ELESBAO VELOSO,-,-,1,-,-,-,-,2,-,-,1,2,6
220360 ELISEU MARTINS,-,-,-,-,-,1,-,-,-,-,-,-,1
220370 ESPERANTINA,-,2,5,3,5,1,25,16,-,2,5,-,64
220375 FARTURA DO PIAUI,-,-,2,-,1,-,1,2,-,-,-,-,6
220380 FLORES DO PIAUI,-,-,-,-,1,1,2,-,-,-,-,-,4
220390 FLORIANO,-,-,1,-,-,-,4,4,-,1,1,-,11
220410 FRANCISCO AYRES,-,-,-,-,-,-,1,1,-,-,-,-,2
220415 FRANCISCO MACEDO,-,-,-,-,1,1,-,-,-,-,-,-,2
220435 GEMINIANO,-,-,-,1,-,-,-,-,-,-,-,-,1
220440 GILBUES,-,-,-,-,-,-,1,-,-,-,-,-,1
220450 GUADALUPE,-,-,3,3,2,4,17,20,3,4,3,1,60
220455 GUARIBAS,-,1,1,-,4,2,6,5,-,1,-,-,20
220460 HUGO NAPOLEAO,-,-,-,1,-,-,1,-,-,-,-,2,4
220465 ILHA GRANDE,-,-,-,1,-,-,2,1,-,-,-,-,4
220470 INHUMA,-,-,2,2,4,-,14,15,1,2,2,-,42
220480 IPIRANGA DO PIAUI,-,-,-,-,-,-,1,-,-,-,-,-,1
220500 ITAINOPOLIS,-,-,-,-,-,-,1,1,-,-,-,-,2
220520 JAICOS,-,-,-,1,-,1,-,2,1,-,-,-,5
220525 JARDIM DO MULATO,-,-,-,-,1,-,1,-,-,-,-,-,2
220527 JATOBA DO PIAUI,-,-,-,1,1,-,1,1,-,-,-,-,4
220530 JERUMENHA,-,-,-,-,2,1,-,6,1,-,-,1,11
220535 JOAO COSTA,-,-,-,-,1,-,-,1,-,-,1,-,3
220540 JOAQUIM PIRES,-,1,-,-,-,1,-,-,-,-,-,1,3
220550 JOSE DE FREITAS,-,-,2,1,-,1,6,1,2,-,-,-,13
220551 JUAZEIRO DO PIAUI,-,-,-,1,-,-,1,-,-,-,-,-,2
220552 JULIO BORGES,-,-,-,-,-,-,1,1,-,-,1,-,3
220553 JUREMA,-,-,-,4,2,1,13,10,1,1,2,-,34
220556 LAGOA DO BARRO DO PIAUI,-,-,-,-,-,1,1,-,-,-,-,-,2
220558 LAGOA DO PIAUI,-,-,-,-,-,-,2,3,-,-,-,-,5
220559 LAGOA DO SITIO,-,-,-,-,1,-,1,-,-,1,-,-,3
220560 LANDRI SALES,-,-,-,-,-,-,-,-,-,-,-,1,1
220570 LUIS CORREIA,1,7,11,7,20,23,113,66,10,6,5,2,271
220580 LUZILANDIA,-,-,-,-,-,-,1,-,-,-,-,-,1
220595 MARCOLANDIA,-,-,1,3,-,2,-,-,-,-,-,-,6
220600 MARCOS PARENTE,-,-,-,1,1,2,13,6,2,-,-,-,25
220605 MASSAPE DO PIAUI,-,-,-,-,-,1,-,-,-,-,-,-,1
220610 MATIAS OLIMPIO,-,-,1,-,-,1,-,-,-,-,-,-,2
220620 MIGUEL ALVES,-,-,-,-,-,2,2,-,-,-,-,-,4
220630 MIGUEL LEAO,-,-,-,-,1,2,7,6,-,-,1,-,17
220635 MILTON BRANDAO,-,-,-,-,-,-,2,-,-,-,-,-,2
220640 MONSENHOR GIL,-,-,-,-,1,2,1,2,-,-,-,-,6
220665 MORRO CABECA NO TEMPO,1,-,1,3,5,2,22,12,4,2,4,-,56
220667 MORRO DO CHAPEU DO PIAUI,-,-,-,-,-,-,1,-,-,-,-,-,1
220672 NAZARIA,-,1,1,5,3,2,2,3,-,-,-,-,17
220675 NOSSA SENHORA DE NAZARE,-,-,-,-,-,-,2,-,-,-,-,-,2
220680 NOSSA SENHORA DOS REMEDIOS,-,-,1,1,-,1,-,-,1,-,-,-,4
220690 NOVO ORIENTE DO PIAUI,-,-,1,1,1,-,2,2,-,-,-,-,7
220695 NOVO SANTO ANTONIO,-,-,-,-,-,-,1,1,-,-,-,-,2
220700 OEIRAS,-,1,7,5,12,14,29,14,3,6,4,-,95
220710 OLHO D'AGUA DO PIAUI,-,-,-,-,-,-,3,1,-,-,-,-,4
220720 PADRE MARCOS,-,-,-,1,-,1,-,-,-,-,-,-,2
220735 PAJEU DO PIAUI,-,-,-,1,-,-,1,-,-,-,-,-,2
220740 PALMEIRA DO PIAUI,-,-,-,-,-,-,-,2,-,-,-,-,2
220750 PALMEIRAIS,-,-,-,-,-,-,-,1,-,-,-,-,1
220755 PAQUETA,-,-,-,-,2,-,-,1,-,-,-,1,4
220760 PARNAGUA,-,1,-,-,1,-,8,1,-,1,-,2,14
220770 PARNAIBA,-,19,38,58,51,50,280,179,24,21,25,7,752
220779 PAU D'ARCO DO PIAUI,-,-,-,-,-,2,3,-,-,-,1,-,6
